SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,address
BEDOK GREEN SECONDARY SCHOOL,360,BEDOK NORTH AVENUE 3,BEDOK GREEN SECONDARY SCHOOL,360 BEDOK NORTH AVENUE 3 BEDOK GREEN SECONDARY SCHOOL SINGAPORE 469722,469722,39319.2390878517,35190.1334154308,1.33451947288431,103.935028383346,360  BEDOK NORTH AVE 3
BEDOK SOUTH SECONDARY SCHOOL,1,JALAN LANGGAR BEDOK,BEDOK SOUTH SECONDARY SCHOOL,1 JALAN LANGGAR BEDOK BEDOK SOUTH SECONDARY SCHOOL SINGAPORE 468585,468585,41095.5563319344,34152.6950651146,1.32513655159184,103.950989139261,1    JALAN LANGGAR BEDOK
BEDOK VIEW SECONDARY SCHOOL,6,BEDOK SOUTH AVENUE 3,BEDOK VIEW SECONDARY SCHOOL,6 BEDOK SOUTH AVENUE 3 BEDOK VIEW SECONDARY SCHOOL SINGAPORE 469293,469293,40292.8371452186,34044.3485775683,1.32415704029686,103.943776245024,6    BEDOK SOUTH AVENUE 3
BENDEMEER PRIMARY SCHOOL,91,BENDEMEER ROAD,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948,339948,31570.8074810533,33784.8514976725,1.32181250780475,103.865404167629,91   BENDEMEER ROAD
MOE KINDERGARTEN @ BENDEMEER,91,BENDEMEER ROAD,MOE KINDERGARTEN @ BENDEMEER,91 BENDEMEER ROAD MOE KINDERGARTEN @ BENDEMEER SINGAPORE 339948,339948,31494.2164972834,33865.841993412,1.3225449659487,103.864715966512,91   BENDEMEER ROAD
SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL),91,BENDEMEER ROAD,SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL),91 BENDEMEER ROAD SHG STUDENT CARE (BENDEMEER PRIMARY SCHOOL) SINGAPORE 339948,339948,31564.9272895884,33828.6365878265,1.32220848530291,103.865351336085,91   BENDEMEER ROAD
BENDEMEER SECONDARY SCHOOL,1,ST. WILFRED ROAD,BENDEMEER SECONDARY SCHOOL,1 ST. WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919,327919,31027.0613143621,34065.2544317767,1.32434843114787,103.860518349544,1    ST WILFRED ROAD
BENDEMEER SECONDARY SCHOOL,1,SAINT WILFRED ROAD,BENDEMEER SECONDARY SCHOOL,1 SAINT WILFRED ROAD BENDEMEER SECONDARY SCHOOL SINGAPORE 327919,327919,31077.3568056701,34094.3010115474,1.32461111307996,103.860970284401,1    ST WILFRED ROAD
BLANGAH RISE PRIMARY SCHOOL,91,TELOK BLANGAH HEIGHTS,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100,109100,25252.1938973861,28732.4526119996,1.27612047924037,103.808628535239,91   TELOK BLANGAH HEIGHTS
MOE KINDERGARTEN @ BLANGAH RISE,91,TELOK BLANGAH HEIGHTS,MOE KINDERGARTEN @ BLANGAH RISE,91 TELOK BLANGAH HEIGHTS MOE KINDERGARTEN @ BLANGAH RISE SINGAPORE 109100,109100,25316.7547196876,28798.2301769778,1.27671535398442,103.809208632292,91   TELOK BLANGAH HEIGHTS
PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE,91,TELOK BLANGAH HEIGHTS,PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE,91 TELOK BLANGAH HEIGHTS PCF SPARKLETOTS KCARE CENTRE@BLANGAH RISE SINGAPORE 109100,109100,25248.3667832566,28733.284345923,1.27612800081734,103.808594147148,91   TELOK BLANGAH HEIGHTS
SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL),91,TELOK BLANGAH HEIGHTS,SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL),91 TELOK BLANGAH HEIGHTS SHG STUDENT CARE (BLANGAH RISE PRIMARY SCHOOL) SINGAPORE 109100,109100,25250.4834536267,28735.1893522833,1.27614522920998,103.80861316604,91   TELOK BLANGAH HEIGHTS
BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),20,BOON LAY DRIVE,BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL),20 BOON LAY DRIVE BIG HEART STUDENT CARE (BOON LAY GARDEN PRIMARY SCHOOL) SINGAPORE 649930,649930,14594.0803428125,36110.2863859087,1.34284013791617,103.712858381937,20   BOON LAY DRIVE
BOON LAY GARDEN PRIMARY SCHOOL,20,BOON LAY DRIVE,BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930,649930,14641.1027754331,36147.7026988044,1.34317853793318,103.713280889452,20   BOON LAY DRIVE
BOON LAY SECONDARY SCHOOL,11,JURONG WEST STREET 65,BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65 BOON LAY SECONDARY SCHOOL SINGAPORE 648354,648354,13373.5768683841,36097.304205548,1.34272216334333,103.701891453912,11   JURONG WEST STREET 65
BOWEN SECONDARY SCHOOL,2,LORONG NAPIRI,BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI BOWEN SECONDARY SCHOOL SINGAPORE 547529,547529,32934.6156324307,39153.0014795549,1.37035994436209,103.877659577677,2    LORONG NAPIRI
BROADRICK SECONDARY SCHOOL,61,DAKOTA CRESCENT,BROADRICK SECONDARY SCHOOL,61 DAKOTA CRESCENT BROADRICK SECONDARY SCHOOL SINGAPORE 399935,399935,33965.1104164785,32152.5974159427,1.30705061123433,103.886917922608,61   DAKOTA CRESCENT
